,Empresa,Vaga,Local,Nota,Link,Descrição,Tamanho,Tipo,Receita,Oportunidades de carreira,Remuneração e benefícios,Cultura e valores,Alta liderança,Qualidade de vida,Recomendam para outras pessoas,Sede,Fundação,Setor
0, Assecont,Analista de Dados,Caxias do Sul,  3.8,https://www.glassdoor.com.br/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_0dcd4375&cb=1666313029775&jobListingId=1008193117312&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-1b745040f68256db-,"Cód: 28492
TI
Caxias do Sul - RS
Efetiva
Prazo: 15/12/2022
Descrição e Atividades
Estamos buscando profissionais para fazer parte da nossa equipe!
Atividades:
Trabalhar com equipes de tecnologia, gerenciamento e/ou Cientistas de Dados em projetos de Ciência de Dados;
Minerar dados de fontes primárias e secundárias;
Limpar e organizar dados para descartar informações irrelevantes;
Analisar e interpretar os resultados usando ferramentas e técnicas estatísticas;
Identificar tendências e padrões em conjuntos de dados;
Identificar novas oportunidades para melhoria de processos;
Criar e apresentar relatórios para os gestores;

Habilidades:
Realizar consultas em SQL para ambientes Oracle e MSSQL;
Manipular Views, Jobs e Procedures em bancos de dados;
Ferramentas de integração de dados, como Pentaho, SSIS, e Talend;
Conhecimento intermediário em excel.

Requisitos
Desejável:
Conhecimento em BI
Inglês.
Sistemas
Banco de dadosMostrar mais ",Desconhecido,Empresa: privada,Desconhecido/Não se aplica,3.1,3.5,3.2,3.1,3.5,73 %,,,
1, IBM,Cientista de Dados (Remoto),Rio de Janeiro,  4.3,https://www.glassdoor.com.br/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_4940d034&cb=1666313029775&jobListingId=1008202043247&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-0e070d1b32f17aca-,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Data Scientist is a role for quantitatively adept people with accompanying business skills. A solid foundation typically in statistics, modeling, operations research, computer science and applications, and math. What sets the data scientist apart is strong business acumen, coupled with the ability to communicate findings to both business and IT leaders in a way that can influence how an organization approaches a business challenge. Good data scientists will not just address business problems, they will pick the right problems that have the most value to the organization. A data scientist is effective at deploying an analytics solution, thereby realizing business value. Whereas a traditional data analyst may look only at data from a single source – a CRM system, for example – a data scientist will most likely explore and examine data from multiple disparate sources. The data scientist will extract, transform, and combine all incoming data with the goal of discovering a previously hidden insight, which in turn can provide a competitive advantage or address a pressing business problem. A data scientist does not simply collect and report on data, but also builds statistical models, determines what it means, then recommends ways to apply the data. Data scientists are inquisitive: exploring, asking questions, doing """"what if"""" analysis, questioning existing assumptions and processes. Armed with data, modeling expertise, and analytical results, a top-tier data scientist will then communicate informed conclusions and recommendations across an organization's leadership structure. The employee focuses on individual/team objectives and development of professional effectiveness.


Required Technical and Professional Expertise
Sólidos conhecimentos de Estatística (Estatísticas Descritivas, Correlação, Testes de Hipóteses, Distribuições de Probabilidades).

Inteligência de Negócios, conceitos de mineração e banco de dados.

Métodos de preparação de dados, modelagem preditiva.

Aplicação e conceitos de Machine Learning.

Experiência em programação em Python e/ou R.


Habilidades de comunicação.

***Todas as vagas são elegíveis para pessoas com deficiência ou reabilitadas.***

Preferred Technical and Professional Expertise
Databricks, Hadoop, Spark, Scala, Kafka, SQL, Java e/ou C++

Controle de versão (Git)

Portfólio de projetos pessoais (por exemplo, Github, blog pessoal)

SPSS, SAS ou Knime

Tableau, PowerBI, Looker

Série Temporal, Mineração de Texto e NLP

Redes neurais e Deep Learning (bibliotecas como Keras, PyTorch, TensorFlow, H2O)

Técnicas de Reconhecimento Visual

Experiência em programação matemática (CPLEX, Gurobi, Matlab)

Capacidade de trabalhar com plataformas de nuvem (Azure, IBM Cloud, Google Cloud ou AWS)

About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM
Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.


At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.Mostrar mais ",Mais de 10.000 funcionários,Empresa: capital aberto,Mais de US$ 10 bilhões,4.0,3.8,4.4,3.8,3.9,90 %,"São Paulo, Brasil",1911,Tecnologia da informação
2, Netvagas - (3699981020),Cientista de dados júnior,São Paulo,,https://www.glassdoor.com.br/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_9eb68c28&cb=1666313029772&jobListingId=1008219974030&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-2e92af6796328ccd-,"Descrição:
Desafios da área:
Implementar e validar modelos preditivos; Criar modelos estatísticos com foco em Big Data; Desenvolvimento de modelos em Machine Learning (ML), utilizando técnicas como Regressão, Classificação, Redes Neuraise Deep Learning; Compreender e trabalhar com processo de ETL; Realizar testes de qualidade sobre os dados; Responsável, com foco nas entregas dos projetos e prazos acordados.

Aliar a elaboração de modelos estatísticos complexos a problemas específicos de negócio, garantindo índices cada vez maiores de aprovações automáticas de baixíssimo risco;

Aliar alta qualidade de projetos de modelos com rápida entrega, atendendo as demandas e especificidades de cada segmento;

Atualizar-se constantemente em relação a novas práticas para combate a fraudes e tecnologias de análise de dados. O que você precisa para participar:

Ter alguma experiência em desenvolvimento de algoritmos; • Forte domínio de conceitos estatísticos: teorias probabilísticas, técnicas de amostragem e os principais estimadores e suas propriedades;

Bons conhecimentos em Python (ou R) e SQL;

Prática em otimização, padronização e versionamento de códigos GIT.

Superior completo.

Python;

SQL;

Java;

Excel avançado

Proficiência no uso de bibliotecas Python e R.

Inglês avançado desejável;

Diferencial ter conhecimentos sólidos em matemática e estatística.

Prática em otimização, padronização e versionamento de códigos GIT.

Superior completo.

Conhecimentos em ambiente em Cloud AWS/Google CloudMostrar mais ",,,,,,,,,,,,
3, Takao,Cientista de Dados,São Paulo,  3.7,https://www.glassdoor.com.br/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_8adb4f43&cb=1666313029773&jobListingId=1008197007613&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-349178cd7b1aaa05-,"Já pensou em trabalhar em um lugar em constante transformação, inovação, colaboração e crescimento?
Aqui na Goop é o lugar!
Quem somos?

Somos a Goop!
Nossa marca Takao é uma das mais fortes do segmento de peças para motores no Brasil! Nosso propósito é ser a solução completa para manutenção e reposição automotiva. Procuramos pessoas engajados em melhorar a experiência de nossos clientes. Estamos falando de uma empresa que cresce mais de 30% ao ano!
Nosso time é especializado no que faz, desde o desenvolvimento da peça até o pós-vendas.
Por aqui trabalhamos com graxa na veia. Nosso negócio é feito de garra, ousadia, olho no olho e alta performance. Somos diferentes!

Se você gosta de aprender e reaprender todos os dias em um ambiente que respeita quem você é, reconhece as suas habilidades e promove o seu desenvolvimento então aqui é o seu lugar.
Você será o responsável por analisar os dados e desenvolver modelos descritivos e preditivos para acelerar o nosso crescimento!
O seu desafio será identificar oportunidades e trazer inteligência para vendermos mais!
Responsabilidades e atribuições
O que esperamos de você?
Desenvolvimento e manutenção de modelos descritivos e preditivos utilizando técnicas e práticas de Machine Learning, especialmente Python como linguagem de programação;
Utilização de dados em nuvem para análises e geração de insights, em especial dentro de empresa de venda de produtos;
Criação e manutenção de serviços para ampliar a nossa performance, tais como detecções de anomalias, algoritmos de propensão de compra, dentre outros;
Conhecimento profundo e prático, preferencialmente envolvendo cursos na área, das técnicas, práticas e frameworks que envolvam Machine Learning. Desenvolvimento de modelos preditivos utilizando conhecimentos da área;
Experiência prática na aplicação dos conceitos e ferramentas, utilizando PYTHON como linguagem principal, para produção de análises, reports e estudos. Deploy de modelos em ambientes de cloud, como Google Cloud Platform (GCP) (Desejável);
Expertise na construção de modelos descritivos e preditivos para análise de comportamento de usuários, utilizando métricas de vendas e/ou e-commerce e/ou aplicativo (Desejável);
Diferenciais: Operação e arquitetura de Data Lakes, especialmente utilizando a infraestrutura de cloud do Google como Big Query, DataFlow, dentre outros serviços;

Requisitos e qualificações

Python;
Machine Learning;
Construção de modelos descritivos e preditivos;
Linguagem SQL;
Diferenciais: Big Query, DataFlow e GCP;

Informações adicionais
Estamos em regime híbrido!
Ou seja, de segunda e sexta estamos em home office e terça, quarta e quinta na empresa presencial.
Nossa marca é uma das mais fortes do segmento de peças para motores no Brasil! Nosso propósito é ser a solução completa para manutenção e reposição automotiva. Procuramos pessoas engajados em melhorar a experiência de nossos clientes. Estamos falando de uma empresa que cresce mais de 30% ao ano!
Nosso time é especializado no que faz, desde o desenvolvimento da peça até o pós-vendas.
Por aqui trabalhamos com graxa na veia. Nosso negócio é feito de garra, ousadia, olho no olho e alta performance. Somos diferentes!Mostrar mais ",De 201 a 500 funcionários,Empresa: privada,Desconhecido/Não se aplica,3.0,3.3,3.4,3.0,3.1,66 %,"Santa Monica, CA",2008,Serviços pessoais do consumidor
4, Netvagas - (3715531020),Cientista de dados sênior | iob,Campinas do Sul,,https://www.glassdoor.com.br/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_91185d6d&cb=1666313029775&jobListingId=1008219972543&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-96ef51d4c165c517-,"Descrição:
 Red Pill RH junto à nossa cliente IOB, estamos em busca de um novo Cientista de Dados Sênior para compor o time! Estamos em busca de pessoas conectadas, dispostas a fazer parte da transformação digital que vivemos na IOB.
Você fará parte de um time que busca a todo momento atender com excelência e oferecer soluções a fim de que nossos clientes consigam obter sucesso nas entregas das suas obrigações fiscais, contábeis ou trabalhistas.
Conhecimentos sólidos em Estatística e Machine Learning (modelos supervisionados e não supervisionados);
Experiência com programação em Python e principais bibliotecas de ciências de dados;
Conhecimento básico em deploy e monitoramento de modelos;
Experiência com Cloud (Preferência AWS);
Experiência com sistemas de controle de versão (Preferência git);
Habilidade de realizar alinhamentos e comunicar resultados para pessoas de times de negócios e de engenharia;
Experiência com SQL.
Desejável:
Conhecimento sobre boas práticas de desenvolvimento de código;
Experiência com desenvolvimento de soluções baseadas em containers (Preferência docker);
Conhecimento em um ou mais dos seguintes serviços AWS: Sagemaker, Lambda, EMR, ECR/ECS;
Experiência com Spark/PySpark.
PLR;
Auxílio saúde e odontológico;
Auxílio Alimentação;
Reembolso Internet.Mostrar mais ",,,,,,,,,,,,
5, BuscarVagas,CIENTISTA DE DADOS,Rio de Janeiro,  5.0,https://www.glassdoor.com.br/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_acd096e8&cb=1666313029775&jobListingId=1008193709799&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-2ba203d4369f6ff1-,"Curso superior completo em Informática, Ciência da Computação, Análise de Sistemas, Engenharia de Produção, Engenharia da Computação, Matemática, Estatística, Economia. Capacitação: Cursos nas ferramentas estatísticas SAS e R, com no mínimo 24 horas cada. 9900,00 Conhecimento em linguagens de programação de análise de dados (R, Python e SQL), conhecimentos estatísticos (gestão de dados, modelagem estatística, inferência estatística), conhecimentos matemáticos (Otimização, programação linear, Estatística Baysesiana, Algoritmos),Governança e Compliance, Finanças, Big Data.

Experiência: Mínimo de 06 (seis) anos em desenvolvimentos de projetos de BI/DW e Big data.

Qualificações pessoais desejáveis: saber resolver problemas, capacidade de trabalhar em equipe, comprometimento, organização, boa comunicação e pro-atividade. Carga Horária: INTEGRAL

Sem informação

Conhecimento em linguagens de programação de análise de dados (R, Python e SQL), conhecimentos estatísticos (gestão de dados, modelagem estatística, inferência estatística), conhecimentos matemáticos (Otimização, programação linear, Estatística Baysesiana, Algoritmos),Governança e Compliance, Finanças, Big Data.
Experiência: Mínimo de 06 (seis) anos em desenvolvimentos de projetos de BI/DW e Big data.
Qualificações pessoais desejáveis: saber resolver problemas, capacidade de trabalhar em equipe, comprometimento, organização, boa comunicação e pro-atividade.Mostrar mais ",,,,,,,,,,,,
6, EY,Cientista de Dados - Sênior,São Paulo,  3.9,https://www.glassdoor.com.br/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_9090ec4e&cb=1666313029774&jobListingId=1008222371108&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-5f2271470a5e8377-,"A EY é líder global em serviços de Auditoria, Impostos, Transações Corporativas e Consultoria. Desenvolvemos líderes de excelência e, unidos por valores pautados pela ética e pelo compromisso constante com a qualidade, contribuímos para gerar confiança no mercado de capitais e em economias em todo o mundo. Dessa forma, exercemos um papel crítico na construção de um mundo de negócios melhor para nossos profissionais, nossos clientes e nossas comunidades.
Quase 35.000 profissionais especializados em atender a indústria financeira em todo o mundo, prestam serviços de auditoria, impostos, transações e assessoria empresarial para bancos, seguradoras e gestoras de patrimônio. Nas Américas, é a única organização de contabilidade pública com uma unidade de negócios dedicada a este mercado. A EY é líder em servir o mercado global de serviços financeiros.
O Financial Services Office hoje inclui mais de 4.000 profissionais em 50 localidades por todo EUA, Caribe e América Latina, com especializações que nos permite obter uma compreensão ampla das questões de negócios e dos desafios do setor financeiro, bem como oferecer serviços integrados para nossos clientes. No Brasil atuam junto aos principais centros mundiais para compartilhar conhecimento relacionado às tendências e regulamentações atuais e emergentes, a fim de ajudar nossos clientes a resolver questões fundamentais em gestão de riscos, controles internos, estratégia, operações e tecnologia da informação.
Este grupo de profissionais, dinâmico e talentoso, busca neste momento o candidato certo para integrar o time e desenvolver uma carreira sólida e ascendente.
A oportunidade:
Como Cientista de Dados, você irá atuar em projetos desafiadores com alta tecnologia. Você poderá contar com ferramentas, conhecimentos e oportunidades para avançar e estar pronto/a para construir um mundo de negócios melhor para nossas pessoas, nossos clientes e as comunidades que nos apoiam.
Suas principais responsabilidades:
Conhecimento em Técnicas de Mineração de Dados;
Análise e Interpretação de Dados;
Análise Preditiva e Descritiva;
Habilidade em manipular grandes volumes de dados em diferentes ambientes / ferramentas e formatos;
Propor novas técnicas para desenvolvimento de modelos;
Desenvolver modelos estatisticos;
Gerar insights com oportunidades ocultas nos dados;
Conduzir e participar de reuniões para entendimento de problemas de negócio e necessidades;
Desenvolvimento dashboards gerenciais para tomada de decisões;
Validar impressões e resultados para o negócio com equipe;
Acompanhamento estabilidade modelos em produção.
Para esta posição, você deve ter:
Superior completo ou cursando em Ciências da Computação ou Afins;
Conhecimento em SQL;
Conhecimento em Python;
Conhecimento em Data Lake;
Conhecimento em SAS;
Conhecimento em Teradata;
Conhecimento em Databricks;
Conhecimento em Power BI;
Conhecimento em Tableau;
Conhecimento em Microstrategy.
Também é Desejável:
Inglês será considerado diferencial.
O que procuramos:
Pessoas talentosas e que consigam enxergar os desafios mais difíceis de nossos clientes de todas as perspectivas. Por isso, buscamos pessoas curiosas, apaixonadas pelo que fazem e com uma variedade de habilidades.
O que nós oferecemos:
Oferecemos um pacote de remuneração e benefícios competitivo no segmento, através do qual você será recompensado/a com base no seu desempenho. Além disso, oferecemos:
Desenvolvimento profissional com base em um extenso programa de treinamentos, coordenado pela EY University (EYU), eleita como uma das melhores universidades corporativas;
Programa EY Badges - programa único e inovador de desenvolvimento, aprendizagem e reconhecimento, preparando profissionais de forma teórica e prática nas competências mais relevantes da atualidade;
Ambiente de trabalho que oferece a flexibilidade necessária para o cumprimento dos objetivos profissionais e pessoais, incentivando uma cultura de trabalho focada em resultados.
Quer se sentir desafiado/a, motivado/a e valorizado/a todos os dias? Inspirar mudanças e deixar um legado? Faça parte do time da EY e ajude-nos na construção de um mundo de negócios melhor!
Sobre a EY:
Como líder global em serviços de Auditoria, Consultoria, Impostos, Estratégia e Transações, contratamos e desenvolvemos as pessoas mais apaixonadas em seu campo de atuação para ajudar a construir um mundo de trabalho melhor. Isso começa com uma cultura que acredita que oferecer treinamentos, oportunidades e liberdade criativa pode fazer com que cada profissional atinja o seu melhor. Assim, não importa quanto tempo permaneça, a experiência excepcional da EY dura a vida toda.
A EY acredita na igualdade de oportunidades. Independentemente de gênero, idade, raça, cor, credo, orientação sexual e deficiência, todos os candidatos qualificados serão considerados em nossos processos.Mostrar mais ",Desconhecido,Desconhecido,Desconhecido/Não se aplica,,,,,,N/A ,,,
7, BIP Brasil,Pessoa Cientista de Dados Pleno - Varejista de Food Service,Trabalho remoto,  4.0,https://www.glassdoor.com.br/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_37d0e8ce&cb=1666313029772&jobListingId=1008213762866&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-0299e64a69be1d61-,"Já conhece a Bip?
O nosso propósito é provocar transformações significativas desafiando o status quo constantemente. Somos uma consultoria internacional, jovem, fundada na Itália em 2003 com um ecossistema em evolução que proporciona uma transformação significativa devido à sua abordagem personalizada, atitude de criador único e espírito pioneiro em um mundo de constante mudanças. Somos visionários e sonhadores, olhando as coisas por diferentes pontos de vista, almejando descobrir novas metodologias e processos que solucionam a complexidade do mundo atual causando impacto positivo.
Com capilaridade global, possuímos mais de 5.000 funcionários, com escritórios em 12 países e em 4 continentes, com projetos correntes em mais de 40 países. No Brasil estamos presentes com escritórios em São Paulo e no Rio de Janeiro desde 2010 suportando grandes empresas através de projetos estratégicos e de transformação e atuando principalmente nos setores de Energia, O&G, Utilities, Serviços Financeiros, Telecomunicações, Varejo, Bens de consumo, Serviços e Agronegócios. A melhor maneira de materializar a nossa forma de atuação é através do nosso payoff “HERE TO DARE”.
xTech
xTech é nosso Centro de Excelência em Ciência de Dados e Tecnologia. Somos mais de 300 pessoas entre cientistas de dados, engenheiros, analistas de dados, especialistas em soluções e arquitetos. Hoje a xTech é a maior comunidade de cientistas de dados da Itália, sendo portanto uma das maiores da Europa. No Brasil, já somos mais de 30 Bipers focados na disciplina de dados (e crescendo). Somos parceiros da Microsoft e Google. Atuamos com os principais frameworks e provedores de serviços em cloud, como Azure, AWS e GCP.
A cultura da BIP está intrinsecamente expressa em nossos 4 valores de Flexibilidade, Inovação, Excelência e Integridade.
Em diversidade, temos metas claras a fim de termos mais mulheres na liderança de nossa em presa, nos próximos anos:
 Ter 01 mulher na posição de sócia até 2023.
 Ter 35% de mulheres na posição de diretora até 2023.
 Ter 50% de mulheres na posição de gerente sênior até 2023.
 Assegurar representatividade de mulheres em 50% em todos os cargos até 2023.

Responsabilidades e atribuições
Principais atividades:
Desenvolvimento de modelos estatísticos para todos os segmentos de atuação da Bip Brasil - o desenvolvimento do modelo é de ponta a ponta: desde o tratamento inicial de dados até a documentação técnica da solução desenvolvida;
Montar modelos preditivos e de machine learning;
Soluções de analytics e BI também serão desenvolvidas para prover a melhor solução e experiência possível para o cliente, para que de fato as ações sejam tomadas!
Contato direto com equipe de consultoria de negócios a fim de entender o problema e possíveis soluções a serem desenvolvidas, aumentando nossa assertividade e impacto!
Oportunidade de desenvolvimento de modelos com metodologias estatísticas distintas e linguagens de programação variadas. Lembre-se: aqui você poderá atuar de forma dinâmica, em diferentes desafios e negócios;
Sugerir novos caminhos, sejam técnicas ou tecnologias, para evoluir a prática de ciência de dados e agregação de valor aos usuários e clientes.

Requisitos e qualificações
Competências esperadas:
Experiência prévia em modelagem estatística, com entendimento do processo de modelagem (desenvolvimento de códigos para manipulação de base de dados, seleção, tratamento e análise de variáveis e discussão com áreas de negócios);
Domínio de SAS, R ou Python - Principalmente biblioteca Pandas (desenvolvimento de macros e funções);
Perfil questionador, com bom raciocínio lógico;
Perfil empreendedor, com apetite por grandes desafios de negócios e vontade de trabalhar na dinâmica de uma consultoria.
Competências desejáveis:
Domínio de mais de uma linguagem de programação;
Prática com softwares de BI;
Atuação em modelo ágil.

Informações adicionais
Nossos benefícios são flexíveis e você poderá distribuí-los de acordo com suas necessidades e interesses:
 All Points (Programa de pontos para passagens áreas e hospedagens)
 Assistência Médica
 Assistência Odontológica
 Seguro de vida
 Meu Pet Club
 Mobilidade (incluindo opção de combustível)
 Reembolso Flex (óculos, vacinas, educação e outros)
 Vale Refeição e/ou Vale Alimentação
Bem-estar: VT, Birthday off, Gympass, Licença Maternidade de 180 dias e Licença Paternidade de 30 dias, além de auxílio creche no primeiro ano do bebê.
Desenvolvimento e engajamento: Academia BIP com Webinars e Treinamentos à distância. Programa de mentoria com acesso a diversos profissionais com diferentes perfis e conhecimentos e Alura para certificações.
Local de Trabalho:
No Brasil, nossas bases ficam em São Paulo e no Rio de Janeiro. Por conta da COVID e de novos modelos de trabalho praticados por nós e nossos clientes, estamos em home office por tempo indeterminado.
HERE TO DARE
Somos uma consultoria internacional, com um ecossistema em evolução que entrega uma transformação significativa por meio de sua abordagem personalizada, cultura maker, espírito pioneiro em um mundo em constante mudança e somos guiados por 3 grandes sonhos:
Ser a empresa que sempre sonhamos e que sonhamos para sempre:
Espelha o desejo de evolução constante e perenização da empresa através de um cultura forte centrada em pessoas e que essas pessoas pratiquem constantemente a ownership. Que para nós significa liberdade com autonomia de dono e responsabilidade pelo futuro da organização.
Presente em ecossistema inovador:
Significa ter e desenvolver constantemente, internamente ou através de parceiros, soluções inovadoras que promovam impactos em nossos clientes e que sejam o pilar de nossa perenidade. Pois só um repensar constante nos manterá atuantes no mercado.
Socialmente engajada:
Conscientes dos aspectos sociais do nosso país, transformamos o nosso conhecimento, a nossa capacidade de execução e networking em impactos positivos e constantes.Mostrar mais ",De 1.001 a 5.000 funcionários,Empresa: privada,De US$ 100 a US$ 500 milhões,3.9,3.6,4.0,3.7,3.6,84 %,"Milão, Itália",2003,Gerenciamento e consultoria
8, Eng4tech,Cientista de Dados (Data Scientist),Trabalho remoto,,https://www.glassdoor.com.br/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&cs=1_c0744893&cb=1666313029772&jobListingId=1008208717859&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-e9faa986d692096c-,"Na ENG4TECH, trabalhamos com soluções inovadoras que visam ajudar empresas a fazer sua transformação digital acontecer, que automatizam processos gerando soluções inovadoras e que permitam nossos clientes a focar em seu maior ativo, que são os clientes deles. Buscamos pessoas engajadas e com pensamento estratégico, que queiram gerar impactos positivos todos os dias, que sonham alto e fazem acontecer, para colecionar sucessos com o nosso time :)
Você terá a oportunidade de evoluir sua carreira em uma empresa com ambiente inovador e desafiador, que incentiva a criatividade e autonomia para ultrapassar barreiras e conquistar resultados. Você poderá juntar-se ao nosso time da ENG4TECH como Cientista de Dados em um Projeto Inovador e Desafiador que busca entregar resultados, de maneira dinâmica e assertiva.
Requisitos e qualificações
Conhecimentos em modelos de machine learningDatabricksPysparkMLLibMLFlowMLOps
﻿- Boa comunicação com clientes e gestores
Na ENG4TECH, trabalhamos com soluções inovadoras que visam ajudar empresas a fazer sua transformação digital acontecer, que automatizam processos gerando soluções inovadoras e que permitam nossos clientes a focar em seu maior ativo, que são os clientes deles. Buscamos pessoas engajadas e com pensamento estratégico, que queiram gerar impactos positivos todos os dias, que sonham alto e fazem acontecer, para colecionar sucessos com o nosso time :)Mostrar mais ",,,,,,,,,,,,
9, GLOBAL HITSS,7596 - Cientista de Dados,São Paulo,  3.8,https://www.glassdoor.com.br/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=00000183f7ff06a08e780d18936da25a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_775aaef6&cb=1666313029774&jobListingId=1008197111775&jrtk=3-0-1gfrvu1rgjca2801-1gfrvu1ruih52800-89d02aa902a28343-,"A Global Hitss é uma multinacional do grupo América Móvil, atuando há mais de 30 anos no mercado de soluções digitais e serviços de TI em 9 países.
Combinando experiência incomparável e habilidades especializadas, nossos mais de 4.300 colaboradores estão engajados em fazer o novo todos os dias. Apostamos em inovação com integridade e buscamos desenvolver soluções inclusivas, responsáveis e sustentáveis para atender nossos funcionários e clientes.
Por meio do pilar de diversidade e inclusão, todos têm oportunidades iguais de construir sua carreira.
Não fazemos distinção de gênero, religião, raça, orientação sexual, posição social e deficiência.
Se você gosta de desafios, tendências, processos ágeis e inovadores, seu lugar é aqui.
Junte-se a nós!
Requisitos necessários:
Ensino superior completo;
Excel avançado;
Experiência com:
SQL;
SAS, R ou Python;
Organização de apresentações;
Contato com stakeholders.

Requisitos desejáveis:

Experiência com ferramentas de computação distribuída;participação em projetos de Telecom, conhecimento em dados não estruturados, APIs e streaming de dados, experiência no processo produtivo de dados (DataOps).
Princpais atribuições:
Responsável por desenvolver análises e segmentações que envolvam diversas fontes de informação, gerar insights relevantes e direcionar ações que podem gerar impacto no negócio;
Realizar interface entre área de negócios e dados, definindo as prioridades com foco em resultados
Importante: Todas as nossas vagas são elegíveis para profissionais com deficiência, equidade de gênero e raça/ etnia.Mostrar mais ",De 5.001 a 10.000 funcionários,Empresa: privada,Desconhecido/Não se aplica,3.2,3.6,3.6,3.3,3.5,78 %,"Ciudad de Mexico, México",,Tecnologia da informação
